scenario,early,late,mean_pred,accuracy
ssp119,2045,2075,0.4941213,"[[9.6590973e-02 1.0012102e-01 9.9980295e-01 ... 4.8415117e-02
  9.9195331e-01 6.0291111e-01]
 [9.6590973e-02 1.0012102e-01 9.9980295e-01 ... 4.8415117e-02
  9.9195331e-01 6.0291111e-01]
 [9.0340900e-01 8.9987898e-01 1.9705296e-04 ... 9.5158488e-01
  8.0466866e-03 3.9708889e-01]
 ...
 [9.6590973e-02 1.0012102e-01 9.9980295e-01 ... 4.8415117e-02
  9.9195331e-01 6.0291111e-01]
 [9.0340900e-01 8.9987898e-01 1.9705296e-04 ... 9.5158488e-01
  8.0466866e-03 3.9708889e-01]
 [9.6590973e-02 1.0012102e-01 9.9980295e-01 ... 4.8415117e-02
  9.9195331e-01 6.0291111e-01]]"
ssp119,2045,2085,0.3962905,"[[0.6536256  0.39554936 0.85324806 ... 0.55691093 0.79731673 0.74324787]
 [0.6536256  0.39554936 0.85324806 ... 0.55691093 0.79731673 0.74324787]
 [0.34637442 0.60445064 0.14675196 ... 0.44308907 0.20268326 0.25675216]
 ...
 [0.6536256  0.39554936 0.85324806 ... 0.55691093 0.79731673 0.74324787]
 [0.34637442 0.60445064 0.14675196 ... 0.44308907 0.20268326 0.25675216]
 [0.6536256  0.39554936 0.85324806 ... 0.55691093 0.79731673 0.74324787]]"
ssp119,2055,2065,0.5374066,"[[0.15747255 0.26269203 0.60252106 ... 0.18063593 0.41034722 0.7733468 ]
 [0.15747255 0.26269203 0.60252106 ... 0.18063593 0.41034722 0.7733468 ]
 [0.84252745 0.73730797 0.3974789  ... 0.8193641  0.5896528  0.22665322]
 ...
 [0.84252745 0.73730797 0.3974789  ... 0.8193641  0.5896528  0.22665322]
 [0.84252745 0.73730797 0.3974789  ... 0.8193641  0.5896528  0.22665322]
 [0.15747255 0.26269203 0.60252106 ... 0.18063593 0.41034722 0.7733468 ]]"
ssp119,2055,2075,0.5676318,"[[0.7986506  0.5174458  0.         ... 0.9913204  0.         0.9979676 ]
 [0.20134939 0.4825542  1.         ... 0.00867964 1.         0.00203243]
 [0.7986506  0.5174458  0.         ... 0.9913204  0.         0.9979676 ]
 ...
 [0.20134939 0.4825542  1.         ... 0.00867964 1.         0.00203243]
 [0.7986506  0.5174458  0.         ... 0.9913204  0.         0.9979676 ]
 [0.20134939 0.4825542  1.         ... 0.00867964 1.         0.00203243]]"
ssp119,2055,2085,0.37686348,"[[1.8888792e-02 9.2699897e-04 2.0799302e-03 ... 1.0000000e+00
  1.8864959e-02 8.5669065e-01]
 [1.8888792e-02 9.2699897e-04 2.0799302e-03 ... 1.0000000e+00
  1.8864959e-02 8.5669065e-01]
 [1.8888792e-02 9.2699897e-04 2.0799302e-03 ... 1.0000000e+00
  1.8864959e-02 8.5669065e-01]
 ...
 [9.8111123e-01 9.9907303e-01 9.9792010e-01 ... 0.0000000e+00
  9.8113501e-01 1.4330935e-01]
 [1.8888792e-02 9.2699897e-04 2.0799302e-03 ... 1.0000000e+00
  1.8864959e-02 8.5669065e-01]
 [9.8111123e-01 9.9907303e-01 9.9792010e-01 ... 0.0000000e+00
  9.8113501e-01 1.4330935e-01]]"
ssp119,2065,2075,0.50149924,"[[0.57563084 0.46771842 0.48499274 ... 0.76140326 0.5160427  0.5173918 ]
 [0.57563084 0.46771842 0.48499274 ... 0.76140326 0.5160427  0.5173918 ]
 [0.42436916 0.5322816  0.51500726 ... 0.23859675 0.48395726 0.48260823]
 ...
 [0.42436916 0.5322816  0.51500726 ... 0.23859675 0.48395726 0.48260823]
 [0.42436916 0.5322816  0.51500726 ... 0.23859675 0.48395726 0.48260823]
 [0.57563084 0.46771842 0.48499274 ... 0.76140326 0.5160427  0.5173918 ]]"
ssp119,2065,2085,0.5088585,"[[0.         0.04613096 0.522925   ... 0.42678827 0.46216357 0.98361146]
 [0.         0.04613096 0.522925   ... 0.42678827 0.46216357 0.98361146]
 [0.         0.04613096 0.522925   ... 0.42678827 0.46216357 0.98361146]
 ...
 [1.         0.95386904 0.47707498 ... 0.5732117  0.53783643 0.01638851]
 [1.         0.95386904 0.47707498 ... 0.5732117  0.53783643 0.01638851]
 [1.         0.95386904 0.47707498 ... 0.5732117  0.53783643 0.01638851]]"
ssp119,2075,2085,0.5141187,"[[0.5191013  0.514358   0.515491   ... 0.5143907  0.5148653  0.51170576]
 [0.5191013  0.514358   0.515491   ... 0.5143907  0.5148653  0.51170576]
 [0.5191013  0.514358   0.515491   ... 0.5143907  0.5148653  0.51170576]
 ...
 [0.48089868 0.48564202 0.484509   ... 0.4856093  0.48513472 0.48829424]
 [0.48089868 0.48564202 0.484509   ... 0.4856093  0.48513472 0.48829424]
 [0.5191013  0.514358   0.515491   ... 0.5143907  0.5148653  0.51170576]]"
ssp126,2015,2025,0.51793975,"[[0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]
 [0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]
 [0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]
 ...
 [0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]
 [0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]
 [0.03506234 0.9047035  0.02711799 ... 0.20805764 0.00376991 0.16966398]]"
ssp126,2015,2035,0.46461362,"[[1.81093885e-04 2.42119336e-06 9.96504903e-01 ... 8.21135586e-08
  8.84480834e-01 3.66959631e-01]
 [1.81093885e-04 2.42119336e-06 9.96504903e-01 ... 8.21135586e-08
  8.84480834e-01 3.66959631e-01]
 [9.99818921e-01 9.99997556e-01 3.49509716e-03 ... 9.99999940e-01
  1.15519166e-01 6.33040369e-01]
 ...
 [1.81093885e-04 2.42119336e-06 9.96504903e-01 ... 8.21135586e-08
  8.84480834e-01 3.66959631e-01]
 [9.99818921e-01 9.99997556e-01 3.49509716e-03 ... 9.99999940e-01
  1.15519166e-01 6.33040369e-01]
 [9.99818921e-01 9.99997556e-01 3.49509716e-03 ... 9.99999940e-01
  1.15519166e-01 6.33040369e-01]]"
